module	T	B	N	F	fns
Imscribing/Millennium/RH_ZFCt_Bridge	0	4	51	0	44
Imscribing/Millennium/Rebis	0	13	147	0	128
Imscribing/Millennium/RiemannSIC	0	8	67	0	60
Imscribing/Millennium/RiemannSIC_FullProof	0	4	63	0	53
Imscribing/Millennium/Ring2048_Bridge	0	4	39	0	35
Imscribing/Millennium/RohoncCodexBraiding	0	4	59	0	50
Imscribing/Millennium/RohoncCodexJarlskog	0	4	55	0	47
Imscribing/Millennium/SICFlavorPartition	0	4	55	0	47
Imscribing/Millennium/SIC_D12_ComputableCyclotomic	0	21	154	0	140
Imscribing/Millennium/SIC_D12_Embedding	1	64	721	0	699
Imscribing/Millennium/SIC_D12_Equiangularity	0	26	1154	0	1134
Imscribing/Millennium/SIC_D12_ExistenceRing	1	64	1140	0	1113
Imscribing/Millennium/SIC_D12_Field288Test	0	4	67	0	56
Imscribing/Millennium/SIC_D12_Field48Test	0	4	67	0	56
Imscribing/Millennium/SIC_D12_MagnitudeClasses	0	57	253	0	292
Imscribing/Millennium/SIC_D12_Norm	0	11	442	0	433
Imscribing/Millennium/SIC_D12_NumberField	0	33	185	0	173
Imscribing/Millennium/SIC_D12_QuadraticTower	0	17	143	0	127
Imscribing/Millennium/SIC_D12_RayCubic	0	13	116	0	105
Imscribing/Millennium/SIC_D12_RayCubicNF	0	12	109	0	97
Imscribing/Millennium/SIC_D12_RayTower	0	40	274	0	273
Imscribing/Millennium/SIC_D12_SymmetricModuli	0	20	153	0	138
Imscribing/Millennium/SIC_D12_WitnessVessel	0	7	114	0	95
Imscribing/Millennium/SIC_D16_Moduli	0	19	143	0	130
Imscribing/Millennium/SIC_D2048_A0Stratum	0	34	261	0	234
Imscribing/Millennium/SIC_D2048_Moduli	0	27	168	0	158
Imscribing/Millennium/SIC_D2048_Unconditional	0	6	63	0	55
Imscribing/Millennium/SIC_D20_Moduli	0	16	120	0	108
Imscribing/Millennium/SIC_Moduli_Report	0	12	169	0	155
Imscribing/Millennium/SIC_POVM_DualLinkClosure	0	6	59	0	52
Imscribing/Millennium/SIC_POVM_Functor	0	4	55	0	47
Imscribing/Millennium/SIC_POVM_ParityGate	0	4	43	0	38
Imscribing/Millennium/SIC_POVM_Stark	0	7	87	0	74
Imscribing/Millennium/SIC_POVM_Stark_Ob3ect	0	5	43	0	39
Imscribing/Millennium/SIC_StarkUnit	0	7	59	0	53
Imscribing/Millennium/SMUGTConsummation	0	7	64	0	57
Imscribing/Millennium/SacredConvergence	0	9	167	0	136
Imscribing/Millennium/SemanticBranchVerifier	0	5	51	0	45
Imscribing/Millennium/SevenFortyFourDecomposition	0	4	47	0	41
Imscribing/Millennium/SpiderMachine	0	12	172	0	148
Imscribing/Millennium/StandardModelFromGrammar	2	66	568	0	566
Imscribing/Millennium/StrongCPClosure	0	4	79	0	65
Imscribing/Millennium/Suffering	0	7	76	0	66
Imscribing/Millennium/SumsetImprovedBounds	0	9	103	0	89
Imscribing/Millennium/SumsetNo3AP	0	14	123	0	109
Imscribing/Millennium/TetractysInit	0	8	89	0	77
Imscribing/Millennium/ThresholdFrobenius	1	88	134	0	118
Imscribing/Millennium/Thresholds	1	152	273	0	274
Imscribing/Millennium/TwinPrime	0	4	59	0	50
Imscribing/Millennium/UnificationConvergence	0	4	151	0	119
Imscribing/Millennium/UnifiedForcing	0	12	84	0	77
Imscribing/Millennium/UniverseRulesets	4	118	559	0	575
Imscribing/Millennium/Unsolved	0	9	96	0	83
Imscribing/Millennium/VAE_Vita_ManuscriptSpine	0	4	39	0	35
Imscribing/Millennium/VAE_Vita_Port	0	4	39	0	35
Imscribing/Millennium/VAE_Vita_SIC_POVM_Bridge	0	4	39	0	35
Imscribing/Millennium/VAE_Vita_Unify	0	4	39	0	35
Imscribing/Millennium/VoidConsensus	0	4	131	0	104
Imscribing/Millennium/WorldReligions	13	404	1289	0	1433
Imscribing/Millennium/WormwoodRevelation	2	23	114	0	114
Imscribing/Millennium/YM	0	4	55	0	47
Imscribing/Millennium/YM_Closure	0	4	43	0	38
Imscribing/Millennium/YM_GateInhabitants	0	4	39	0	35
Imscribing/Millennium/YM_Mathematical_Witness	0	7	60	0	54
Imscribing/Millennium/YM_Witness	0	4	71	0	59
Imscribing/Millennium/YM_ZFCt_Bridge	0	4	47	0	41
Imscribing/Millennium/Z7StructureConstants	0	17	107	0	99
Imscribing/Millennium/ZFCt_Unified_Bridge	0	6	95	0	79
Imscribing/Millennium/ZaunerEmbeddingEquivalence	0	4	55	0	47
Imscribing/Millennium/ZaunerTransportMap	0	11	92	0	82
Imscribing/Millennium/ZaunerUnitaryConstruction	0	6	51	0	46
Imscribing/Millennium/Zosimos_Stilling	0	53	259	0	258
Imscribing/Millennium/truth	0	4	59	0	50
Imscribing/MoDoT/ManuscriptSpine	0	13	261	0	260
Imscribing/MomonadOS	2	99	365	0	373
Imscribing/MomonadOS/AutopoieticConvergence	0	126	403	0	408
Imscribing/MomonadOS/SheafEnrichedFrobenius	1	15	131	0	119
Imscribing/Nuclear/IslandOfStability	0	34	266	0	244
Imscribing/NumberTheory/ErdosStrausProof	0	11	68	0	64
Imscribing/NumberTheory/GeneralizedStarkCorrespondence	0	25	214	0	193
Imscribing/NumberTheory/GrammarStarkCorrespondence	3	55	321	0	319
Imscribing/NumberTheory/HnGcdTheorem	0	4	51	0	44
Imscribing/NumberTheory/PrattCertificateMonad	1	15	126	0	114
Imscribing/NumberTheory/PrattOb3ectProtocol	0	5	51	0	45
Imscribing/NumberTheory/PrattStratification	2	21	137	0	131
Imscribing/NumberTheory/StarkSunitD2048	0	7	99	0	83
Imscribing/NumberTheory/TwoThreeSierpinski	0	4	51	0	44
Imscribing/Ob3ects/apply_criticality_absorbing_element_entering_b_scaffold	0	4	43	0	38
Imscribing/Ob3ects/categorical_join_scaffold	0	4	43	0	38
Imscribing/Ob3ects/classical_non_commutative_complement_to_the_quan_scaffold	0	4	43	0	38
Imscribing/Ob3ects/descent_to_stark_unit_bottleneck_for_the_d_19_br_scaffold	0	4	43	0	38
Imscribing/Ob3ects/enumerate_17_280_000_crystal_eigenstates_as_clas_scaffold	0	4	43	0	38
Imscribing/Ob3ects/exact_density_matrix_recovery_with_zero_reconstr_scaffold	0	4	43	0	38
Imscribing/Ob3ects/exact_sic_geometry_achieved_with_frame_potential_scaffold	0	4	43	0	38
Imscribing/Ob3ects/extract_144_exact_sic_probabilities_from_the_qua_scaffold	0	4	43	0	38
Imscribing/Ob3ects/fix_the_density_matrix_tomography_record_as_a_pe_scaffold	0	4	43	0	38
Imscribing/Ob3ects/informational_completeness_duality_splitting_d_1_scaffold	0	4	43	0	38
