module	T	B	N	F	fns
Millennium/PvsNP_Structural.olean	0	1808	1446	0	1957
Millennium/PvsNP_Witness.olean	37	1945	1741	0	3094
Millennium/QGUnifiedBridge.olean	45	1225	3809	0	3557
Millennium/RH.olean	214	3879	4734	1	3898
Millennium/RH_GateInhabitants.olean	131	2153	10396	6	4463
Millennium/RH_LeeYang_Bridge.olean	29	1884	4487	0	3847
Millennium/RH_Mathematical_Witness.olean	111	1755	5759	3	4395
Millennium/RH_Witness.olean	22	843	1468	0	1455
Millennium/RH_ZFCt_Bridge.olean	133	6636	7775	0	6155
Millennium/Rebis.olean	131	3720	28686	3	15752
Millennium/RiemannSIC.olean	151	1209	3018	0	2380
Millennium/RiemannSIC_FullProof.olean	16	1808	13191	0	8116
Millennium/Ring2048_Bridge.olean	245	3699	22571	1	9123
Millennium/RohoncCodexBraiding.olean	52	1390	3308	1	2841
Millennium/RohoncCodexJarlskog.olean	40	5882	1703	0	2905
Millennium/SICFlavorPartition.olean	4	2176	2739	0	1715
Millennium/SIC_D12_ComputableCyclotomic.olean	34	1369	3357	0	2338
Millennium/SIC_D12_Embedding.olean	4016	48316	324022	297	129263
Millennium/SIC_D12_Equiangularity.olean	620	13607	91841	5	65828
Millennium/SIC_D12_ExistenceRing.olean	940	19763	180882	28	154248
Millennium/SIC_D12_Field288Test.olean	438	12564	27056	9	26008
Millennium/SIC_D12_Field48Test.olean	5	5640	4257	0	4738
Millennium/SIC_D12_MagnitudeClasses.olean	62	2306	13112	0	11829
Millennium/SIC_D12_Norm.olean	748	4415	14725	6	10303
Millennium/SIC_D12_NumberField.olean	71	1477	6433	3	4189
Millennium/SIC_D12_QuadraticTower.olean	1	7571	1429	0	2100
Millennium/SIC_D12_RayCubic.olean	142	3206	7585	2	6349
Millennium/SIC_D12_RayCubicNF.olean	66	1431	7870	1	2669
Millennium/SIC_D12_RayTower.olean	504	6639	35437	4	20952
Millennium/SIC_D12_SymmetricModuli.olean	123	2238	8686	1	6450
Millennium/SIC_D12_WitnessVessel.olean	87	1333	3332	0	2778
Millennium/SIC_D16_Moduli.olean	16	5498	3834	0	5683
